_id,fullName,email,password,role,remoteWorkAllowed,Activated,profileCompleted,createdAt,updatedAt,__v,refreshToken,profilePicture,businessUnit,keySkills[0],keySkills[1],keySkills[2],keySkills[3],keySkills[4],keySkills[5],keySkills[6],certifications[0],certifications[1],certifications[2],assignments[0],assignments[1],assignments[2],assignments[3],assignments[4],assignments[5],assignments[6],manager,dateOfJoining,employmentType,jobTitle,phoneNumber,seniorityLevel,yearsOfExperience
68495c8370fa348f75c89f2a,Jhon Doe,JhonDoe@gmail.com,$2b$10$rdtER.V0/ynanCA68r7F3u4Id190Ilar.24k9ufHNzbPi5l/Ilt02,RH,false,true,false,2025-06-11T10:37:55.343Z,2025-08-20T19:19:44.033Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4NDk1YzgzNzBmYTM0OGY3NWM4OWYyYSIsImlhdCI6MTc1NTcxNzU4NCwiZXhwIjoxNzU1OTc2Nzg0fQ.14C24SuUcYQsn7Kr18hAEE6EfNknIqNUPHJ3RKsL0Ac,,,,,,,,,,,,,,,,,,,,,,,,,,
68a33d2a5f83cbbed05d02d8,Enrique Ebert,eleanora.harvey-borer93@gmail.com,$2b$10$235vJ7KqUhy60K4CVhqbQe5sUhvStRjcOcUJVrHsf2hf4uiZxTZey,Manager,false,true,false,2025-08-18T14:48:10.727Z,2025-08-20T19:25:00.508Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZDJhNWY4M2NiYmVkMDVkMDJkOCIsImlhdCI6MTc1NTcxNzkwMCwiZXhwIjoxNzU1OTc3MTAwfQ.oAUxt9Kbu2M9V0DHlPv40YzlCRK7Kizn0U73l_3yJDc,,68a3455a5f83cbbed05d0358,,,,,,,,,,,,,,,,,,,,,,,,
68a33d5a5f83cbbed05d02db,Ruby Smith,aurelie_schuppe@hotmail.com,$2b$10$hXU8AImj5sy7s.WN0GKL8eF7Pqk00hUVEJyJIurKq.vGLVWRxmTu.,Manager,false,true,false,2025-08-18T14:48:58.908Z,2025-08-18T15:29:44.918Z,0,,,68a345835f83cbbed05d035f,,,,,,,,,,,,,,,,,,,,,,,,
68a33d965f83cbbed05d02de,Jill Johnston,brisa_nitzsche24@hotmail.com,$2b$10$Crc1pmCglv50uu1bgpNsn.Lk.BCYoMcLSr0StG1.FuWURvk9aeotO,Employee,true,true,true,2025-08-18T14:49:58.350Z,2025-08-18T20:46:00.892Z,1,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZDk2NWY4M2NiYmVkMDVkMDJkZSIsImlhdCI6MTc1NTUzNDIwNCwiZXhwIjoxNzU1NzkzNDA0fQ.ppmQSazh10334KVs5r0mQG86fFGN53M1Y1o2fzPjrMo,,68a3455a5f83cbbed05d0358,AWS,Node.js,Microservices,,,,,Scrum Master,PMP,,68a3910870f8e23184d85945,,,,,,,68a33d2a5f83cbbed05d02d8,2023-12-15T00:00:00.000Z,Part-time,Business Intelligence Specialist,21654065971,Part-time,5
68a33dbc5f83cbbed05d02e1,Dr. Simon Miller,geraldine.collins79@yahoo.com,$2b$10$26Nv3W2UmCz5VPRYUhxHR.35yyNIyR0nN42qiYH1jTBqr3nzjqf0G,Manager,false,true,false,2025-08-18T14:50:36.900Z,2025-08-18T19:53:22.791Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZGJjNWY4M2NiYmVkMDVkMDJlMSIsImlhdCI6MTc1NTU0NjgwMiwiZXhwIjoxNzU1ODA2MDAyfQ.MsPdJgs5gDr0UJfG0_9r5M9iwSscpEuhsT7Hi5K7w48,,68a3455a5f83cbbed05d0358,,,,,,,,,,,,,,,,,,,,,,,,
68a33df95f83cbbed05d02e4,Ricky Rice-Schmidt,virginie.wisozk@yahoo.com,$2b$10$sTesYlciwPBIkA5stuHuqee1VgbcnTOgE8KBujDAJkHvYbM4uNM7q,Employee,true,true,true,2025-08-18T14:51:37.251Z,2025-08-18T16:57:14.464Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZGY5NWY4M2NiYmVkMDVkMDJlNCIsImlhdCI6MTc1NTUzNDY0MCwiZXhwIjoxNzU1NzkzODQwfQ.BQ1BjapVupJvybZPPrgPAFtPV_mqD6UUv2tEXsTauDQ,,68a3455a5f83cbbed05d0358,Angular,Node.js,TypeScript,,,,,Azure Fundamentals,Scrum Master,Microsoft .NET Certification,,,,,,,,68a33d2a5f83cbbed05d02d8,2021-08-20T00:00:00.000Z,Full-time,HRIS Consultant,21654065971,Part-time,3
68a33e295f83cbbed05d02e7,Jerald Jones,joshuah49@gmail.com,$2b$10$X5eDXr9sKsbRo/r5wxX.q.8cXVVTFmO1LtsLh2TWx/ZjhMpwHwPcq,Manager,false,false,false,2025-08-18T14:52:25.275Z,2025-08-18T15:38:58.211Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a33e535f83cbbed05d02ea,Tracey O'Keefe,vernie62@hotmail.com,$2b$10$kcrBY/06F09a8nM9GxeGt.IwEe.rpnna0yCeafeSmonAsnfqP8a3S,Manager,false,true,false,2025-08-18T14:53:07.354Z,2025-08-18T15:31:06.516Z,0,,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,,,,,,,
68a33e8a5f83cbbed05d02ed,Vicky Braun,sigrid.rippin@yahoo.com,$2b$10$cy5O1AprId9xiM1KOy/Nj.kn8EEGB.rBkUxbt940Peio9GKiyUMc.,Employee,true,true,true,2025-08-18T14:54:02.342Z,2025-08-18T16:46:27.574Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZThhNWY4M2NiYmVkMDVkMDJlZCIsImlhdCI6MTc1NTUzNTI1NSwiZXhwIjoxNzU1Nzk0NDU1fQ.bTEdLuwJJ4qXJCZkSzSFJSL_0u2zu8jTCH0IbfyyRtQ,,68a3455a5f83cbbed05d0358,Node.js,GCP,GraphQL,Linux,React,,,"""Google Cloud Engineer""",,,,,,,,,,68a33dbc5f83cbbed05d02e1,2014-05-29T00:00:00.000Z,Full-time,Product Manager,21654065971,Contract,12
68a33eb55f83cbbed05d02f0,Tamara Hamill,jaylan5@yahoo.com,$2b$10$NtKMpKK1P3yjtH4aaOI0Pu3NiGj434PzSbmGOTrnUnjDQmcI9el/y,RH,false,false,false,2025-08-18T14:54:45.781Z,2025-08-18T14:54:45.781Z,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68a33ef85f83cbbed05d02f3,Iris MacGyver,andre49@yahoo.com,$2b$10$vpUAk0LuVaispH7VdMlox.YRXPMVpC/M9/EyrStsufHbdMAMDfReq,Employee,false,true,true,2025-08-18T14:55:52.203Z,2025-08-18T16:53:40.430Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZWY4NWY4M2NiYmVkMDVkMDJmMyIsImlhdCI6MTc1NTUzNTYwNywiZXhwIjoxNzU1Nzk0ODA3fQ.7o3KW2hj3SyKzMxMOFaoLQCpRjql3_9vXIyFZemp3QM,,68a3455a5f83cbbed05d0358,Scrum,Angular,Spring Boot,GraphQL,,,,Google Cloud Engineer,PMP,,,,,,,,,68a33dbc5f83cbbed05d02e1,2024-12-01T00:00:00.000Z,Part-time,Frontend Developer,21654065971,Full-time,1
68a33f225f83cbbed05d02f6,Mrs. Marjorie Armstrong,eric21@gmail.com,$2b$10$gPUZ5d1gdu56Jr95VUQog.uMKEe0U2gB09Qwa1ID/iuR7BNROa/I6,Manager,false,true,false,2025-08-18T14:56:34.052Z,2025-08-18T16:12:37.201Z,0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY4YTMzZjIyNWY4M2NiYmVkMDVkMDJmNiIsImlhdCI6MTc1NTUzMzU1NywiZXhwIjoxNzU1NzkyNzU3fQ.eq0mr5u8tOotvTSCI8oVHvXAdJvwGpYpDVt5A1Pu7v8,,68a345f95f83cbbed05d0374,,,,,,,,,,,,,,,,,,,,,,,,
